X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
508274.0676,103950.2503,38,redacted,0.1155,Nursing/Assisted Living,Residential Facility,,,WINDSOR,WINDSOR,,,,,1
507998.6865,104049.9058,39,redacted,0.18,Food Establishment,Grocery,Farmers' Market,,WINDSOR,WINDSOR,,,,,1
495684.5055,116022.9497,41,redacted,0.1155,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
496480.6723,123999.4739,42,redacted,0.042,Nursing/Assisted Living,Residential Facility,,,WOODSTOCK,WINDSOR,,,,,1
498031.1404,126287.5198,43,redacted,0.18,Food Establishment,Grocery,Farmers' Market,,WOODSTOCK,WINDSOR,,,,,1
498474.5968,124776.4297,45,redacted,0.26,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498474.5968,124776.4297,46,redacted,3.15,Food Establishment,Lodging,,,WOODSTOCK,WINDSOR,,,,,1
498409.9979,124643.1236,47,redacted,0.10057,Food Establishment,School,,,WOODSTOCK,WINDSOR,,,,,1
498490.7962,125031.9582,48,redacted,0.18,Food Establishment,Grocery,,,WOODSTOCK,WINDSOR,,,,,1
498498.8718,125054.1766,49,redacted,0.18,Food Establishment,Convenience Store,,,WOODSTOCK,WINDSOR,,,,,1
498862.065,125154.096,50,redacted,0.189,Food Establishment,B&B,,,WOODSTOCK,WINDSOR,,,,,1
498490.8037,125065.2885,52,redacted,0.735,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498523.0762,125020.8409,55,redacted,1.47,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498482.6099,124520.8958,57,redacted,0.105,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498555.3515,124987.5036,58,redacted,0.4725,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
499047.6793,125109.6266,59,redacted,0.72,Food Establishment,Bakery,,,WOODSTOCK,WINDSOR,,,,,1
499515.7916,125420.6593,60,redacted,0.18,Food Establishment,Grocery,,,WOODSTOCK,WINDSOR,,,,,1
499096.1068,125142.9502,61,redacted,0.735,Food Establishment,B&B,,,WOODSTOCK,WINDSOR,,,,,1
499136.4606,125154.055,62,redacted,0.168,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
496012.2405,123555.333,63,redacted,0.4725,Food Establishment,B&B,,,WOODSTOCK,WINDSOR,,,,,1
499418.9364,125265.1256,64,redacted,0.26,Food Establishment,Convenience Store,,,WOODSTOCK,WINDSOR,,,,,1
499685.2833,125820.613,67,redacted,0.05,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
491869.0181,121837.0159,68,redacted,0.105,Food Establishment,B&B,,,WOODSTOCK,WINDSOR,,,,,1
499572.2854,125465.0959,70,redacted,0.2205,Nursing/Assisted Living,Residential Facility,,,WOODSTOCK,WINDSOR,,,,,1
491739.8404,121848.2837,71,redacted,1.029,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
497342.1435,118399.6214,72,redacted,1.0185,Food Establishment,B&B,,,SOUTH WOODSTOCK,WINDSOR,,,,,1
498611.853,125020.822,73,redacted,0.315,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
494260.0759,123023.3204,74,redacted,0.13,Food Establishment,Bakery,,,WOODSTOCK,WINDSOR,,,,,1
502437.0571,125765.4983,75,redacted,0.0665,School,School,,,WOODSTOCK,WINDSOR,,,,,1
502437.0571,125765.4983,76,redacted,0.05256,School,School,,,WOODSTOCK,WINDSOR,,,,,1
491133.3026,121126.9044,77,redacted,0.189,Food Establishment,Lodging,,,WOODSTOCK,WINDSOR,,,,,1
499661.0749,125831.7243,78,redacted,0.6615,Food Establishment,Lodging,,,WOODSTOCK,WINDSOR,,,,,1
499192.9619,125220.7086,79,redacted,0.05,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
490486.6158,120661.168,81,redacted,0.126,Food Establishment,B&B,,,WOODSTOCK,WINDSOR,,,,,1
498700.6407,125076.3547,83,redacted,,Food Establishment,Restaurant,Bread/related products,,WOODSTOCK,WINDSOR,,,,,1
499314.0097,125142.9244,86,redacted,0.126,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
497828.8912,124676.6169,87,redacted,0.189,Food Establishment,B&B,,,WOODSTOCK,WINDSOR,,,,,1
499467.3566,125242.9013,88,redacted,0.525,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498611.8876,125187.4734,89,redacted,0.21,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498603.7871,125043.0438,90,redacted,0.1575,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498740.9976,125098.5671,91,redacted,0.8085,Food Establishment,Restaurant,,,WOODSTOCK,WINDSOR,,,,,1
498773.2838,125120.7814,93,redacted,0.603636177,Food Manufacturer,Sweets,,,WOODSTOCK,WINDSOR,,,,,1
497748.1659,124632.2032,94,redacted,0.12075,Nursing/Assisted Living,Residential Facility,,,WOODSTOCK,WINDSOR,,,,,1
497748.1659,124632.2032,95,redacted,0.0735,Nursing/Assisted Living,Residential Facility,,,WOODSTOCK,WINDSOR,,,,,1
496609.85,124054.9577,96,redacted,0.18,Food Establishment,Bakery,,,WOODSTOCK,WINDSOR,,,,,1
497948.0684,118499.3988,97,redacted,,Food Manufacturer,Sweets,,,WOODSTOCK,WINDSOR,,,,,1
496067.5424,121499.9399,98,redacted,0,Food Manufacturer,Food Processor,,,WOODSTOCK,WINDSOR,,,,,1
487206.9687,158030.8614,100,redacted,0.063,Food Establishment,Restaurant,,,RANDOLPH,ORANGE,,,,,1
486723.899,157420.7213,101,redacted,0.273,Food Establishment,Hospital,,,RANDOLPH,ORANGE,,,,,1
486723.899,157420.7213,102,redacted,0.1575,Nursing/Assisted Living,Residential Facility,,,RANDOLPH,ORANGE,,,,,1
486741.1168,157998.4441,103,redacted,0.26,Food Establishment,Restaurant,,,RANDOLPH,ORANGE,,,,,1
487359.7017,158108.3436,104,redacted,0.525,Food Establishment,Restaurant,,,RANDOLPH,ORANGE,,,,,1
487263.1415,158008.5319,105,redacted,0.13,Food Establishment,Restaurant,Bars/Pubs,,RANDOLPH,ORANGE,,,,,1
487263.1415,158008.5319,106,redacted,1.05,Food Establishment,Restaurant,,,RANDOLPH,ORANGE,,,,,1
487133.7435,157542.1316,107,redacted,0.01575,Nursing/Assisted Living,Residential Facility,,,RANDOLPH,ORANGE,,,,,1
488202.489,157862.3554,108,redacted,1.68,Food Establishment,Restaurant,,,RANDOLPH,ORANGE,,,,,1
486718.1813,158576.2478,109,redacted,0.18,Food Establishment,Convenience Store,,,RANDOLPH,ORANGE,,,,,1
486885.2762,157798.1646,110,redacted,0.063,Food Establishment,Restaurant,,,RANDOLPH,ORANGE,,,,,1
485998.0046,159777.6899,111,redacted,0.13,Food Establishment,Bakery,,,RANDOLPH,ORANGE,,,,,1
487395.6558,155897.246,112,redacted,0.18,Food Establishment,Grocery,Farmers' Market,,RANDOLPH,ORANGE,,,,,1
487395.6558,155897.246,113,redacted,0.05,Food Establishment,Restaurant,,,RANDOLPH,ORANGE,,,,,1
489957.1815,160459.3758,115,redacted,0.18,Food Establishment,Grocery,,,RANDOLPH,ORANGE,,,,,1
511034.3649,148305.9081,116,redacted,0.147,Food Establishment,Restaurant,,,SOUTH STRAFFORD,ORANGE,,,,,1
511227.5171,148228.4574,117,redacted,0.18,Food Establishment,Grocery,,,STRAFFORD,ORANGE,,,,,1
511078.0054,155894.5231,118,redacted,,Food Manufacturer,Food Processor,,,STRAFFORD,ORANGE,,,,,1
506889.3252,151322.3929,119,redacted,,Food Manufacturer,Dairy,Creamery,,STRAFFORD,ORANGE,,,,,1
509822.8947,151748.283,120,redacted,0.2625,Food Establishment,Restaurant,,,STRAFFORD,ORANGE,,,,,1
510801.1132,148316.6358,121,redacted,0.075145,Food Establishment,School,,,STRAFFORD,ORANGE,,,,,1
523631.2745,147694.307,122,redacted,0.05,Food Establishment,Home-based Business,,,THETFORD,ORANGE,,,,,1
525045.7945,145855.1139,125,redacted,0.4515,Food Establishment,Restaurant,,,THETFORD,ORANGE,,,,,1
524997.4378,145877.1534,126,redacted,0.72,Food Establishment,Convenience Store,,,THETFORD,ORANGE,,,,,1
525009.7139,149032.6251,127,redacted,0.18,Food Establishment,Convenience Store,,,THETFORD,ORANGE,,,,,1
519190.0255,153713.0972,128,redacted,0.05,Food Establishment,Caterer,,,THETFORD,ORANGE,,,,,1
520977.7835,147429.8694,130,redacted,1.575,Food Establishment,Camp,,,Fairlee,ORANGE,,,,,1
521486.4239,154308.9973,131,redacted,0.92925,Food Establishment,Camp,,,THETFORD,ORANGE,,,,,1
521567.5605,146631.791,133,redacted,0.11865,Food Establishment,School,,,THETFORD,ORANGE,,,,,1
521625.7132,146065.3395,134,redacted,0.11865,Food Establishment,School,,,THETFORD,ORANGE,,,,,1
530890.4235,164112.6045,139,redacted,0,Food Manufacturer,Sweets,,,BRADFORD,ORANGE,,,,,1
518740.7709,144878.8761,140,redacted,0.13,Food Establishment,Home-based Business,,,THETFORD,ORANGE,,,,,1
522915.9904,184580.1801,142,redacted,0.13,Food Establishment,Bakery,,,TOPSHAM,ORANGE,,,,,1
517329.7443,176663.0623,143,redacted,0.18,Food Establishment,Convenience Store,,,TOPSHAM,ORANGE,,,,,1
515248.9356,179546.8058,144,redacted,0.18,Food Establishment,Grocery,,,TOPSHAM,ORANGE,,,,,1
519118.8903,175523.5645,145,redacted,0.105555,Food Establishment,School,,,EAST CORINTH,ORANGE,,,,,1
501677.6426,161140.8447,146,redacted,0.05,Food Establishment,Caterer,,,TUNBRIDGE,ORANGE,,,,,1
500699.0533,154452.0446,148,redacted,0.18,Food Establishment,Convenience Store,,,TUNBRIDGE,ORANGE,,,,,1
501694.7384,157063.2238,149,redacted,0.055,Food Establishment,Caterer,,,TUNBRIDGE,ORANGE,,,,,1
502023.9393,157418.8572,150,redacted,0.05394,Food Establishment,School,,,TUNBRIDGE,ORANGE,,,,,1
502569.1303,159874.5081,151,redacted,0.05,Food Establishment,Caterer,,,TUNBRIDGE,ORANGE,,,,,1
510658.7721,166804.607,152,redacted,0.34125,Food Establishment,Camp,,,VERSHIRE,ORANGE,,,,,1
510148.4815,164848.2966,153,redacted,0.042,Nursing/Assisted Living,Residential Facility,,,VERSHIRE,ORANGE,,,,,1
508376.0237,170767.908,155,redacted,0.063,Food Establishment,B&B,,,WASHINGTON,ORANGE,,,,,1
505331.8968,178575.766,157,redacted,0.05,Food Establishment,Convenience Store,,,WASHINGTON,ORANGE,,,,,1
502611.8031,173785.2871,158,redacted,0.041385,Food Establishment,School,,,WASHINGTON,ORANGE,,,,,1
533138.7102,184523.7333,159,redacted,,Food Manufacturer,Food Processor,,,WELLS RIVER,ORANGE,,,,,1
532785.8801,184699.7482,160,redacted,1.2075,Food Establishment,Convenience Store,,,WELLS RIVER,Orange,,,,,1
533566.3172,182236.9491,161,redacted,0.063,Food Establishment,Lodging,,,NEWBURY,ORANGE,,,,,1
519003.3708,157156.8853,162,redacted,0.05,Food Establishment,Caterer,,,WEST FAIRLEE,ORANGE,,,,,1
522072.5218,154455.3591,163,redacted,0.05,Food Establishment,Caterer,,,WEST FAIRLEE,ORANGE,,,,,1
525954.9316,164358.0789,164,redacted,0.105,Food Establishment,Camp,,,WEST FAIRLEE,ORANGE,,,,,1
522577.1489,154923.7071,165,redacted,0.97125,Food Establishment,Camp,,,WEST FAIRLEE,ORANGE,,,,,1
521598.0149,154587.1277,166,redacted,0.44625,Food Establishment,Camp,,,WEST FAIRLEE,ORANGE,,,,,1
519190.3526,156379.6709,167,redacted,0.055935,Food Establishment,School,,,WEST FAIRLEE,ORANGE,,,,,1
530353.5367,176176.8092,168,redacted,0.86625,Food Establishment,Camp,,,WEST NEWBURY,ORANGE,,,,,1
516102.2644,177571.0593,169,redacted,0.21,Food Establishment,Restaurant,,,TOPSHAM,ORANGE,,,,,1
515248.9356,179546.8058,170,redacted,0.05,Food Establishment,Convenience Store,,,TOPSHAM,ORANGE,,,,,1
496326.3182,180374.6242,171,redacted,0.137295,Food Establishment,School,,,WILLIAMSTOWN,ORANGE,,,,,1
496958.2331,179563.1944,172,redacted,2.415,Food Establishment,Restaurant,,,WILLIAMSTOWN,ORANGE,,,,,1
494156.8619,179853.9711,173,redacted,0.1155,Nursing/Assisted Living,Residential Facility,,,WILLIAMSTOWN,ORANGE,,,,,1
489958.4456,177125.7114,174,redacted,,Food Manufacturer,Food Processor,,,WILLIAMSTOWN,ORANGE,,,,,1
496678.3897,180196.6602,175,redacted,0.231,Food Establishment,Restaurant,,,WILLIAMSTOWN,ORANGE,,,,,1
452735.6527,217768.3471,177,redacted,0.05,Food Establishment,Home-based Business,,,WILLIAMSTOWN,ORANGE,,,,,1
496678.3673,180152.2159,178,redacted,0.13,Food Establishment,Bakery,,,WILLIAMSTOWN,ORANGE,,,,,1
496830.1748,179596.588,179,redacted,0.378,Food Establishment,Restaurant,,,WILLIAMSTOWN,ORANGE,,,,,1
492275.5521,179600.3537,180,redacted,0.05,Food Establishment,Caterer,,,WILLIAMSTOWN,ORANGE,,,,,1
496116.7564,177885.8691,181,redacted,0.055,Food Establishment,Lodging,,,WILLIAMSTOWN,ORANGE,,,,,1
496270.4687,180685.7657,182,redacted,0.05425,Food Establishment,School,,,WILLIAMSTOWN,ORANGE,,,,,1
509757.7496,248651.0766,183,redacted,0.034675,Food Establishment,School,,,ALBANY,ORLEANS,,,,,1
512785.2922,243644.7363,184,redacted,0.05,Food Establishment,Caterer,,,ALBANY,ORLEANS,,,,,1
509671.6935,247939.7605,185,redacted,0.42,Food Establishment,Restaurant,,,ALBANY,ORLEANS,,,,,1
509505.4646,247861.7274,186,redacted,0.18,Food Establishment,Grocery,,,ALBANY,ORLEANS,,,,,1
509521.307,247861.7507,187,redacted,,Food Manufacturer,Food Processor,,,ALBANY,ORLEANS,,,,,1
524983.8749,247814.2189,188,redacted,,Food Manufacturer,Food Processor,,,BARTON,ORLEANS,,,,,1
525277.0419,249815.6012,189,redacted,0.42,Food Establishment,Restaurant,,,BARTON,ORLEANS,,,,,1
525347.219,250093.6884,192,redacted,0.1,Food Establishment,Senior meals,,,BARTON,ORLEANS,,,,,1
522672.074,254206.4475,194,redacted,0.42,Food Establishment,Restaurant,,,BARTON,ORLEANS,,,,,1
522112.1649,253637.7623,195,redacted,0.062475,Food Establishment,School,,,BARTON,ORLEANS,,,,,1
522807.543,256173.8429,197,redacted,,Food Manufacturer,Meat/Poultry/Seafood,,,BARTON,ORLEANS,,,,,1
525362.9686,250115.9753,199,redacted,0.18,Food Establishment,Convenience Store,,,BARTON,ORLEANS,,,,,1
525442.9434,249916.2662,200,redacted,0.066105,Food Establishment,School,,,BARTON,ORLEANS,,,,,1
526203.604,251752.8753,202,redacted,0.147,Food Establishment,Restaurant,,,BARTON,ORLEANS,,,,,1
524706.3037,254091.6972,204,redacted,0.37275,Nursing/Assisted Living,Residential Facility,,,BARTON,ORLEANS,,,,,1
525705.4145,249628.3836,205,redacted,0.525,Food Establishment,Restaurant,,,BARTON,ORLEANS,,,,,1
525307.8882,250026.859,206,redacted,0.72,Food Establishment,Bakery,,,BARTON,ORLEANS,,,,,1
525299.9696,250026.8279,207,redacted,0.42,Food Establishment,Restaurant,,,BARTON,ORLEANS,,,,,1
525332.0809,249915.8294,209,redacted,0.091605,Food Establishment,School,,,BARTON,ORLEANS,,,,,1
534792.0566,266573.5401,212,redacted,0.05,Food Establishment,Caterer,,,CHARLESTON,ORLEANS,,,,,1
534902.9355,266518.5782,213,redacted,0.13,Food Establishment,Bakery,,,CHARLESTON,ORLEANS,,,,,1
535270.5928,261419.7809,214,redacted,0.05,Food Establishment,Home-based Business,,,CHARLESTON,ORLEANS,,,,,1
537964.089,260434.9814,215,redacted,0.063845,Food Establishment,School,,,CHARLESTON,ORLEANS,,,,,1
540331.6484,259860.4262,216,redacted,0.13,Food Establishment,Bakery,,,CHARLESTON,ORLEANS,,,,,1
521763.6154,265404.8051,217,redacted,0.2625,Food Establishment,Restaurant,,,COVENTRY,ORLEANS,,,,,1
518580.4455,262527.7342,218,redacted,0.05022,Food Establishment,School,,,COVENTRY,ORLEANS,,,,,1
518336.3665,262204.7669,219,redacted,0.05,Food Establishment,Caterer,,,COVENTRY,ORLEANS,,,,,1
511030.7591,235985.232,220,redacted,0.063,Food Establishment,Restaurant,,,CRAFTSBURY,ORLEANS,,,,,1
510187.6576,237195.0673,221,redacted,0.26,Food Establishment,Restaurant,,,CRAFTSBURY,ORLEANS,,,,,1
509415.5057,238927.3863,222,redacted,0.26,Food Establishment,Restaurant,,,CRAFTSBURY,ORLEANS,,,,,1
510155.9727,237161.6813,224,redacted,0.18,Food Establishment,Caterer,,,CRAFTSBURY,ORLEANS,,,,,1
509359.3853,239338.4535,225,redacted,0.0576,Food Establishment,School,,,CRAFTSBURY,ORLEANS,,,,,1
506426.418,237568.0493,226,redacted,0.13,Food Establishment,Bakery,,,CRAFTSBURY,ORLEANS,,,,,1
512566.678,237854.8653,227,redacted,0.126,Nursing/Assisted Living,Residential Facility,,,CRAFTSBURY,ORLEANS,,,,,1
510100.224,237294.9391,228,redacted,0.18,Food Establishment,Convenience Store,,,CRAFTSBURY,ORLEANS,,,,,1
510029.6086,236783.6731,229,redacted,0,Food Manufacturer,Food Processor,,,CRAFTSBURY,ORLEANS,,,,,1
509920.4371,240706.0836,230,redacted,0.042,Food Establishment,Restaurant,,,CRAFTSBURY,ORLEANS,,,,,1
510553.4334,236706.7215,231,redacted,0.13,Food Establishment,Bakery,,,CRAFTSBURY,ORLEANS,,,,,1
507673.8299,242736.5515,232,redacted,0.05,Food Establishment,Home-based Business,,,CRAFTSBURY,ORLEANS,,,,,1
509264.4439,239171.6348,233,redacted,0.05311,Food Establishment,College/University,,,CRAFTSBURY,ORLEANS,,,,,1
510813.9425,242252.109,234,redacted,0.945,Food Establishment,Lodging,,,CRAFTSBURY COMMON,ORLEANS,,,,,1
510821.8707,242252.1223,235,redacted,0.7875,Food Establishment,Camp,,,CRAFTSBURY COMMON,ORLEANS,,,,,1
518753.5443,227335.5896,237,redacted,0.13,Food Establishment,Bakery,,,DERBY,ORLEANS,,,,,1
530288.0557,270306.8281,238,redacted,0.084,Food Establishment,B&B,,,DERBY,ORLEANS,,,,,1
532969.7911,269197.6675,239,redacted,0.05,Food Establishment,Caterer,,,DERBY,ORLEANS,,,,,1
531942.5688,270948.3046,240,redacted,0.05,Food Establishment,Caterer,,,DERBY,ORLEANS,,,,,1
529920.9309,274539.1284,241,redacted,1.575,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
533523.2971,276568.459,242,redacted,0.063,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
529383.1094,273125.2906,244,redacted,0.12075,Nursing/Assisted Living,Residential Facility,,,DERBY,ORLEANS,,,,,1
529178.8257,272935.4358,245,redacted,0.26,Food Establishment,Bar,,,DERBY,ORLEANS,,,,,1
529178.8257,272935.4358,246,redacted,0.525,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
529163.1968,272902.0258,247,redacted,0.26,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
529179.6872,272746.52,248,redacted,1.575,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
529179.6872,272746.52,249,redacted,0.26,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
529132.4444,272724.0789,250,redacted,0.2625,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
529029.9158,272712.5,251,redacted,0.13,Food Establishment,Bakery,,,DERBY,ORLEANS,,,,,1
528840.4887,272722.7564,252,redacted,0.26,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
528864.5618,272633.9616,254,redacted,0.2415,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
525133.727,274240.6999,255,redacted,0.05,Food Establishment,Caterer,,,DERBY,ORLEANS,,,,,1
528202.175,272530.9918,256,redacted,0.18,Food Establishment,Grocery,"Beer, wine, liquor store",,DERBY,ORLEANS,,,,,1
528185.9036,272642.0492,257,redacted,0.05,Food Establishment,Private Club,,,DERBY,ORLEANS,,,,,1
527886.2957,272585.172,258,redacted,0.13,Food Establishment,Restaurant,Deli,,DERBY,ORLEANS,,,,,1
527902.3197,272529.6773,259,redacted,0.105,Food Establishment,Bakery,,,DERBY,ORLEANS,,,,,1
527366.1643,272427.3459,260,redacted,0.2625,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
527318.4859,272504.9324,261,redacted,1.3125,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
531566.3449,278403.2594,262,redacted,0.2625,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
527230.9288,272682.3655,263,redacted,0.72,Food Establishment,Bakery,,,DERBY,ORLEANS,,,,,1
527097.9627,272403.9788,264,redacted,0.252,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
527026.6145,272481.4673,265,redacted,0.18,Food Establishment,Grocery,,,DERBY,ORLEANS,,,,,1
527026.6145,272481.4673,266,redacted,0.055,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
526963.8612,272392.2995,267,redacted,0.6615,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
526892.4678,272480.9022,268,redacted,1.0395,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
532583.8528,278308.3512,269,redacted,0.1785,Nursing/Assisted Living,Residential Facility,,,DERBY,ORLEANS,,,,,1
531261.9803,277768.3185,270,redacted,0.18,Food Establishment,Convenience Store,,,DERBY,ORLEANS,,,,,1
531214.6734,277768.0872,271,redacted,0.063,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
526152.4864,272044.4333,272,redacted,0.26,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
526789.2802,272624.9368,273,redacted,0.13,Food Establishment,Bakery,,,DERBY,ORLEANS,,,,,1
529087.5247,272190.4546,274,redacted,0.09928,Food Establishment,School,,,DERBY,ORLEANS,,,,,1
519045.2463,228125.3908,275,redacted,0.26,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
528978.1024,271956.5871,276,redacted,0.18,Food Establishment,Grocery,Specialty foods,,DERBY,ORLEANS,,,,,1
526757.2523,272735.9317,278,redacted,1.3125,Food Establishment,Restaurant,,,DERBY,ORLEANS,,,,,1
530093.9772,277996.0834,279,redacted,0.223175,Food Establishment,School,,,DERBY,ORLEANS,,,,,1
531391.4822,270656.6428,280,redacted,0.504,Food Establishment,Camp,,,DERBY,ORLEANS,,,,,1
541037.0408,259598.1831,281,redacted,0.05,Food Establishment,Caterer,,,EAST CHARLESTON,ORLEANS,,,,,1
540592.2562,261162.2794,282,redacted,0.05,Food Establishment,Caterer,,,EAST CHARLESTON,ORLEANS,,,,,1
525363.0561,250093.7507,283,redacted,0.05,Food Establishment,Caterer,,,GLOVER,ORLEANS,,,,,1
524748.542,245146.3366,284,redacted,0.18,Food Establishment,Restaurant,,,GLOVER,ORLEANS,,,,,1
524605.9838,245123.5668,285,redacted,0.06324,Food Establishment,School,,,GLOVER,ORLEANS,,,,,1
521609.9093,247646.457,286,redacted,0.483,Food Establishment,Bakery,,,GLOVER,ORLEANS,,,,,1
